script_hash,timestamp_ms,input_csv,fsasa_cutoff,ddg_cutoff,abs_delta_size_cutoff,charged_neighbors_cutoff,interaction_freq_cutoff,fsasa_scale,partial_fsasa_scale,ddg_scale,charged_neighbors_scale,interaction_freq_scale,n_cases,n_outliers_2.0,n_outliers_1.5,n_outliers_1.0,n_flagged_outliers,n_flagged_grey_area,n_flagged_good_pred,n_unflagged_outliers,n_unflagged_grey_area,n_unflagged_good_pred
559cd283a85e573037ad980d89ebb1e8,1712064507030,benchmark_merged_features_results.csv,0.1,2.5,5,6,0.5,20,10,1,1,10,208,19,38,73,12,7,3,7,47,132
559cd283a85e573037ad980d89ebb1e8,1712064519817,case_studies_merged_features_results.csv,0.1,2.5,5,6,0.5,20,10,1,1,10,42,5,7,11,4,0,0,1,6,31
